customer_id,recency,frequency,monetary,first_purchase,avg_order_value,tenure_days,r_score,f_score,m_score,future_spend,is_churn,segment,value_tier,engagement_tier,strategic_segment,top_category
AA-10315,2,11,5563.56,2014-03-31,505.77818181818185,1188,5,3,5,0,Yes,Potential Loyalists,High Value,Highly Engaged,High Value - Highly Engaged,Office Supplies
AA-10375,229,10,849.658,2014-04-21,84.9658,1167,2,3,2,206.732,No,Loyal Customers,Medium Value,Inactive,Medium Value - Inactive,Technology
AA-10480,77,12,1790.512,2014-05-04,149.20933333333335,1154,4,4,3,0,Yes,Needs Attention,Medium Value,Highly Engaged,Medium Value - Highly Engaged,Technology
AA-10645,300,17,5073.975,2014-06-22,298.4691176470588,1105,2,5,5,12.96,No,Loyal Customers,High Value,Inactive,High Value - Inactive,Furniture
AB-10015,233,6,886.156,2014-02-18,147.69266666666667,1229,2,2,2,0,Yes,At Risk,Medium Value,Inactive,Medium Value - Inactive,Furniture
AB-10060,55,11,4899.346,2015-09-18,445.39509090909087,652,4,3,5,2856.274,No,Loyal Customers,High Value,Highly Engaged,High Value - Highly Engaged,Office Supplies
AB-10105,26,13,12997.607,2014-12-20,999.815923076923,924,5,4,5,1475.964,No,Champions,High Value,Highly Engaged,High Value - Highly Engaged,Office Supplies
AB-10150,517,7,736.054,2014-03-05,105.15057142857142,1214,1,2,2,230.65599999999998,No,Potential Loyalists,Low Value,Inactive,Low Value - Inactive,Technology
AB-10165,78,11,910.086,2014-11-16,82.73509090909091,958,4,3,2,203.752,No,Loyal Customers,Medium Value,Highly Engaged,Medium Value - Highly Engaged,Office Supplies
AB-10255,15,13,434.548,2014-07-22,33.42676923076923,1075,5,4,1,479.984,No,Potential Loyalists,Low Value,Highly Engaged,Low Value - Highly Engaged,Technology
AB-10600,579,3,40.808,2014-11-18,13.602666666666668,956,1,1,1,1475.0539999999999,No,Potential Loyalists,Low Value,Inactive,Low Value - Inactive,Furniture
AC-10420,50,5,925.8,2014-07-12,185.16,1085,4,1,2,0,Yes,At Risk,Medium Value,Moderately Engaged,Medium Value - Moderately Engaged,Furniture
AC-10450,219,7,2068.246,2014-10-31,295.4637142857143,974,2,2,3,3459.6,No,Champions,Medium Value,Inactive,Medium Value - Inactive,Office Supplies
AC-10615,99,5,243.888,2015-09-15,48.7776,655,4,1,1,2293.7980000000002,No,Loyal Customers,Low Value,Moderately Engaged,Low Value - Moderately Engaged,Furniture
AC-10660,100,6,657.316,2014-10-15,109.55266666666667,990,3,2,1,0,Yes,Needs Attention,Low Value,Moderately Engaged,Low Value - Moderately Engaged,Technology
AD-10180,62,9,5026.33,2014-11-19,558.4811111111111,955,4,3,5,1080.55,No,Champions,High Value,Highly Engaged,High Value - Highly Engaged,Technology
AF-10870,68,13,1772.5220000000002,2015-12-06,136.34784615384615,573,4,4,3,280.38599999999997,No,Loyal Customers,Medium Value,Highly Engaged,Medium Value - Highly Engaged,Office Supplies
AF-10885,233,7,861.5649999999999,2014-05-10,123.08071428571428,1148,2,2,2,0,Yes,At Risk,Medium Value,Inactive,Medium Value - Inactive,Furniture
AG-10270,96,14,2582.898,2014-05-13,184.4927142857143,1145,4,4,4,0,Yes,Needs Attention,Medium Value,Moderately Engaged,Medium Value - Moderately Engaged,Furniture
AG-10300,208,4,361.588,2014-04-26,90.397,1162,2,1,1,5.96,No,Needs Attention,Low Value,Inactive,Low Value - Inactive,Furniture
AG-10330,332,2,248.82,2016-08-03,124.41,332,1,1,1,412.152,No,Potential Loyalists,Low Value,Inactive,Low Value - Inactive,Technology
AG-10390,212,7,181.185,2014-04-19,25.88357142857143,1169,2,2,1,19.76,No,Needs Attention,Low Value,Inactive,Low Value - Inactive,Office Supplies
AG-10495,254,17,2242.479,2015-01-04,131.9105294117647,909,2,5,4,114.376,No,Loyal Customers,Medium Value,Inactive,Medium Value - Inactive,Office Supplies
AG-10525,663,9,1455.038,2014-08-09,161.6708888888889,1057,1,3,3,0,Yes,Needs Attention,Medium Value,Inactive,Medium Value - Inactive,Technology
AG-10675,22,9,3335.3436,2015-05-07,370.5937333333334,786,5,3,4,153.696,No,Loyal Customers,High Value,Highly Engaged,High Value - Highly Engaged,Furniture
AG-10765,600,3,129.732,2014-09-17,43.244,1018,1,1,1,40.852000000000004,No,Needs Attention,Low Value,Inactive,Low Value - Inactive,Office Supplies
