customer_id,recency,frequency,monetary,first_purchase,tenure_days,r_score,f_score,m_score,future_spend,is_churn,retention_score,segment,clv_pred,value_tier,retention_tier,marketing_segment
AA-10315,2,11,5563.56,2014-03-31,1188,5,3,5,0,Yes,0.3471642732620239,Potential Loyalists,528.22064208984375,Medium Value,Low Retention,Medium Value + Low Retention
AA-10375,229,10,849.658,2014-04-21,1167,2,3,2,206.732,No,0.8053052425384521,Loyal Customers,494.7148132324219,Low Value,Medium Retention,Low Value + Medium Retention
AA-10480,77,12,1790.512,2014-05-04,1154,4,4,3,0,Yes,0.7388437390327454,Needs Attention,579.6904296875,Medium Value,Medium Retention,Medium Value + Medium Retention
AA-10645,300,17,5073.975,2014-06-22,1105,2,5,5,12.96,No,0.9287459254264832,Loyal Customers,570.018310546875,Medium Value,High Retention,Medium Value + High Retention
AB-10015,233,6,886.156,2014-02-18,1229,2,2,2,0,Yes,0.4981459379196167,At Risk,458.470947265625,Low Value,Low Retention,Low Value + Low Retention
AB-10060,55,11,4899.346,2015-09-18,652,4,3,5,2856.274,No,0.9690462350845337,Loyal Customers,868.14239501953125,High Value,High Retention,High Value + High Retention
AB-10105,26,13,12997.607,2014-12-20,924,5,4,5,1475.964,No,0.8254892230033875,Champions,847.99664306640625,High Value,Medium Retention,High Value + Medium Retention
AB-10150,517,7,736.054,2014-03-05,1214,1,2,2,230.65599999999998,No,0.9216662645339966,Potential Loyalists,403.3636474609375,Low Value,High Retention,Low Value + High Retention
AB-10165,78,11,910.086,2014-11-16,958,4,3,2,203.752,No,0.8095345497131348,Loyal Customers,716.75921630859375,Medium Value,Medium Retention,Medium Value + Medium Retention
AB-10255,15,13,434.548,2014-07-22,1075,5,4,1,479.984,No,0.9383129477500916,Potential Loyalists,469.6571044921875,Low Value,High Retention,Low Value + High Retention
AB-10600,579,3,40.808,2014-11-18,956,1,1,1,1475.0539999999999,No,0.8744532465934753,Potential Loyalists,589.0260009765625,Medium Value,Medium Retention,Medium Value + Medium Retention
AC-10420,50,5,925.8,2014-07-12,1085,4,1,2,0,Yes,0.630269467830658,At Risk,680.3909912109375,Medium Value,Medium Retention,Medium Value + Medium Retention
