customer_id,recency,frequency,monetary,first_purchase,tenure_days,r_score,f_score,m_score,future_spend,is_churn,clv_pred,churn_prob,retention_score,segment,value_tier,retention_tier,marketing_segment,top_category,category_segment
AA-10315,2,11,5563.56,2014-03-31,1188,5,3,5,0,Yes,741.53240966796875,0.6528357267379761,0.3471642732620239,Potential Loyalists,Medium Value,Low Retention,Medium Value + Low Retention,Office Supplies,Medium Value + Low Retention + Office Supplies
AA-10375,229,10,849.658,2014-04-21,1167,2,3,2,206.732,No,726.363525390625,0.19469475746154785,0.8053052425384521,Loyal Customers,Medium Value,Medium Retention,Medium Value + Medium Retention,Technology,Medium Value + Medium Retention + Technology
AA-10480,77,12,1790.512,2014-05-04,1154,4,4,3,0,Yes,874.47320556640625,0.26115626096725464,0.7388437390327454,Needs Attention,Medium Value,Medium Retention,Medium Value + Medium Retention,Technology,Medium Value + Medium Retention + Technology
AA-10645,300,17,5073.975,2014-06-22,1105,2,5,5,12.96,No,755.494140625,0.07125407457351685,0.9287459254264832,Loyal Customers,Medium Value,High Retention,Medium Value + High Retention,Furniture,Medium Value + High Retention + Furniture
AB-10015,233,6,886.156,2014-02-18,1229,2,2,2,0,Yes,812.49627685546875,0.5018540620803833,0.4981459379196167,At Risk,Medium Value,Low Retention,Medium Value + Low Retention,Furniture,Medium Value + Low Retention + Furniture
AB-10060,55,11,4899.346,2015-09-18,652,4,3,5,2856.274,No,931.62408447265625,0.03095376491546631,0.9690462350845337,Loyal Customers,High Value,High Retention,High Value + High Retention,Office Supplies,High Value + High Retention + Office Supplies
AB-10105,26,13,12997.607,2014-12-20,924,5,4,5,1475.964,No,558.15643310546875,0.17451077699661255,0.8254892230033875,Champions,Low Value,Medium Retention,Low Value + Medium Retention,Office Supplies,Low Value + Medium Retention + Office Supplies
AB-10150,517,7,736.054,2014-03-05,1214,1,2,2,230.65599999999998,No,580.0023193359375,0.07833373546600342,0.9216662645339966,Potential Loyalists,Low Value,High Retention,Low Value + High Retention,Technology,Low Value + High Retention + Technology
AB-10165,78,11,910.086,2014-11-16,958,4,3,2,203.752,No,937.47613525390625,0.19046545028686523,0.8095345497131348,Loyal Customers,High Value,Medium Retention,High Value + Medium Retention,Office Supplies,High Value + Medium Retention + Office Supplies
AB-10255,15,13,434.548,2014-07-22,1075,5,4,1,479.984,No,409.2407531738281,0.06168705224990845,0.9383129477500916,Potential Loyalists,Low Value,High Retention,Low Value + High Retention,Technology,Low Value + High Retention + Technology
AB-10600,579,3,40.808,2014-11-18,956,1,1,1,1475.0539999999999,No,603.595947265625,0.12554675340652466,0.8744532465934753,Potential Loyalists,Low Value,Medium Retention,Low Value + Medium Retention,Furniture,Low Value + Medium Retention + Furniture
AC-10420,50,5,925.8,2014-07-12,1085,4,1,2,0,Yes,897.91302490234375,0.36973053216934204,0.630269467830658,At Risk,Medium Value,Medium Retention,Medium Value + Medium Retention,Furniture,Medium Value + Medium Retention + Furniture
